triple,truth
personmexico edinsonvolquez athleteplaysinleague sportsleague mlb,1
athlete tomglavine athleteplaysinleague sportsleague mlb,1
sportsleague nba leaguestadiums stadiumoreventvenue oraclearena,1
athlete darrellrasner athleteplayssport sport baseball,1
personmexico nickpunto athleteplaysinleague sportsleague mlb,1
athlete jesseorosco athleteplayssport sport baseball,1
athlete joelguzman athleteplaysinleague sportsleague mlb,1
athlete dwightgooden athleteplayssport sport baseball,1
sportsteam dallascowboys teamplaysinleague sportsleague nfl,1
sportsteam tampabaydevilrays teamhomestadium stadiumoreventvenue tropicanafield,1
athlete brianshouse athleteplayssport sport baseball,1
personmexico chienmingwang athleteplayssport sport baseball,1
athlete edgarmartinez athleteplaysinleague sportsleague mlb,1
athlete albertoarias athleteplaysinleague sportsleague mlb,1
athlete chrisresop athleteplaysinleague sportsleague mlb,1
athlete carllandry athleteplaysforteam sportsteam rockets,1
athlete mattwieters athleteplayssport sport baseball,1
coach johnbuck athleteplaysinleague sportsleague mlb,1
sportsleague nba leaguestadiums stadiumoreventvenue americanairlinescenter,1
coach kevinyoukilis athleteplaysinleague sportsleague mlb,1
athlete rudygay athleteplaysforteam sportsteam memphisgrizzlies,1
athlete matthasselbeck athleteledsportsteam sportsteam seahawks,1
personmexico jasongiambi athleteplaysforteam sportsteam newyorkyankees,1
athlete ichiro athleteplaysforteam sportsteam seattlemariners,1
sportsteam chicagocubs teamhomestadium stadiumoreventvenue wrigleyfield,1
athlete jasonkapono athleteplaysforteam sportsteam raptors,1
athlete giambi athleteledsportsteam sportsteam newyorkyankees,1
sportsteam minnesotavikings teamhomestadium stadiumoreventvenue metrodome,1
athlete seancasey athleteplayssport sport baseball,1
coach rickieweeks athleteplaysinleague sportsleague mlb,1
male yogiberra athleteplayssport sport baseball,1
personmexico shanevictorino athleteplaysforteam sportsteam phillies,1
athlete derosa athleteledsportsteam sportsteam chicagocubs,1
athlete tarvarisjackson athleteledsportsteam sportsteam minnesotavikings,1
athlete brettmyers athleteplayssport sport baseball,1
athlete jimrice athleteplaysforteam sportsteam bostonred,1
personmexico jaygibbons athleteplaysforteam sportsteam orioles,1
athlete juliofranco athleteplayssport sport baseball,1
sportsleague ncaa leaguestadiums stadiumoreventvenue jordanharestadium,1
athlete mikedunleavy athleteledsportsteam sportsteam pacers,1
athlete williemcginest athleteplaysforteam sportsteam newyorkgiants,1
athlete asdrubalcabrera athleteplayssport sport baseball,1
coach markkotsay athleteplaysforteam sportsteam atlantabraves,1
athlete andruwjones athleteledsportsteam sportsteam atlantabraves,1
personmexico michaelbourn athleteplaysforteam sportsteam houstonastros,1
athlete gradysizemore athleteplaysinleague sportsleague mlb,1
athlete robertoalomar athleteplayssport sport baseball,1
athlete tayshaunprince athleteledsportsteam sportsteam fortwaynepistons,0
athlete ajmurray athleteplayssport sport baseball,1
athlete johnsmoltz athleteplayssport sport baseball,1
athlete andruwjones athleteplaysforteam sportsteam atlantabraves,1
sportsleague nfl leaguestadiums stadiumoreventvenue giantsstadium,1
athlete brayanpena athleteplaysinleague sportsleague mlb,1
athlete frankfrancisco athleteledsportsteam sportsteam rangers,1
athlete alanembree athleteplayssport sport baseball,1
athlete rickeyhenderson athleteplaysinleague sportsleague mlb,1
athlete hunterpence athleteplaysinleague sportsleague mlb,1
athlete lukewalton athleteplaysforteam sportsteam losangeleslakers,1
athlete brucegradkowski athleteledsportsteam sportsteam bucs,0
athlete jeffkent athleteledsportsteam sportsteam dodgers,1
athlete billmueller athleteplayssport sport baseball,1
athlete magglioordonez athleteplaysinleague sportsleague mlb,1
personmexico markloretta athleteplaysinleague sportsleague mlb,1
athlete daisukematsuzaka athleteplayssport sport baseball,1
athlete nicklaslidstrom athleteplaysforteam sportsteam redwings,1
athlete chrisnarveson athleteplaysinleague sportsleague mlb,1
personmexico jackwilson athleteplayssport sport baseball,1
personmexico toddcoffey athleteplayssport sport baseball,1
sportsleague mlb leaguestadiums stadiumoreventvenue millerpark,1
sportsteam cavaliers teamplaysinleague sportsleague nba,1
athlete elimanning athletehomestadium stadiumoreventvenue giantsstadium,1
athlete felixpie athleteplaysforteam sportsteam chicagocubs,1
sportsleague mlb leaguestadiums stadiumoreventvenue targetfield,1
athlete kelennaazubuike athleteplaysforteam sportsteam goldenstatewarriors,0
athlete garrettolson athleteplaysinleague sportsleague mlb,1
athlete rogerclemens athleteplayssport sport baseball,1
sportsteam newyorkyankees teamplaysagainstteam sportsteam atlantabraves,1
sportsteam philadelphiaphillies teamplaysinleague sportsleague mlb,1
athlete fernandoabad athleteplaysforteam sportsteam newyorkmets,0
personmexico jasongiambi athleteledsportsteam sportsteam newyorkyankees,1
athlete kerrywood athleteplayssport sport baseball,1
athlete andreethier athleteplayssport sport baseball,1
athlete rexgrossman athleteplaysforteam sportsteam n1985chicagobears,0
athlete gregorblanco athleteplaysinleague sportsleague mlb,1
coach brianburres athleteplayssport sport baseball,1
athlete justinverlander athleteplayssport sport baseball,1
athlete joelguzman athleteplayssport sport baseball,1
athlete chadpennington athleteledsportsteam sportsteam newyorkjets,1
athlete jakedelhomme athleteledsportsteam sportsteam carolina,1
sportsleague mlb leaguestadiums stadiumoreventvenue ameriquestfield,1
athlete nealcotts athleteplayssport sport baseball,1
personmexico alfredoamezaga athleteplaysinleague sportsleague mlb,1
athlete maddux athleteplayssport sport baseball,1
coach tomgorzelanny athleteplayssport sport baseball,1
athlete mattlawton athleteplayssport sport baseball,1
sportsleague nba leaguestadiums stadiumoreventvenue quickenloansarena,1
sportsteam iowastate teamplaysinleague sportsleague ncaa,1
personmexico jaybruce athleteplayssport sport baseball,1
athlete movaughn athleteplayssport sport baseball,1
athlete migueltejada athleteplaysinleague sportsleague mlb,1
athlete peytonmanning athletehomestadium stadiumoreventvenue lucasoilstadium,1
sportsteam stlouiscardinals teamhomestadium stadiumoreventvenue buschmemorialstadium,1
coach markhendrickson athleteplaysinleague sportsleague mlb,1
athlete damonhuard athleteplaysforteam sportsteam kansascitychiefs,0
personmexico markgrudzielanek athleteplaysinleague sportsleague mlb,1
coach johnmaine athleteplaysinleague sportsleague mlb,1
personmexico adameverett athleteplayssport sport baseball,1
coach randorbierd athleteplaysinleague sportsleague mlb,1
athlete jefffrancoeur athleteplaysinleague sportsleague mlb,1
athlete davidjustice athleteplaysforteam sportsteam atlantabraves,1
athlete taylortankersley athleteplaysinleague sportsleague mlb,1
athlete zito athleteplayssport sport baseball,1
athlete chrisyoung athleteplayssport sport baseball,1
athlete tonysipp athleteplayssport sport baseball,1
athlete kurtbusch athleteledsportsteam sportsteam baltimorecolts,0
athlete kirbypuckett athleteplaysinleague sportsleague mlb,1
coach ryanludwick athleteplaysforteam sportsteam louiscardinals,0
personmexico jimjackson athleteledsportsteam sportsteam knicks,0
personmexico djmbenga athleteplaysforteam sportsteam coloradorockies,1
coach ryanspilborghs athleteplaysinleague sportsleague mlb,1
athlete jarrodwashburn athleteplaysinleague sportsleague mlb,1
athlete chrisbosh athleteledsportsteam sportsteam raptors,1
athlete berniewilliams athleteplaysinleague sportsleague mlb,1
athlete nickblackburn athleteplaysinleague sportsleague mlb,1
sportsleague mlb leaguestadiums stadiumoreventvenue kauffmanstadium,1
athlete busterposey athleteplayssport sport baseball,1
personmexico scottolsen athleteplaysinleague sportsleague mlb,1
athlete chuckknoblauch athleteplayssport sport baseball,1
athlete princefielder athleteplaysinleague sportsleague mlb,1
athlete kerrycollins athleteplaysforteam sportsteam titans,0
sportsteam neworleanshornets teamplaysinleague sportsleague nba,1
athlete jessecarlson athleteplaysinleague sportsleague mlb,1
athlete scottbaker athleteplayssport sport baseball,1
athlete ryanmadson athleteplaysinleague sportsleague mlb,1
athlete michaelfinley athleteledsportsteam sportsteam spurs,1
sportsleague nba leaguestadiums stadiumoreventvenue usairwayscenter,1
athlete freddygarcia athleteplaysinleague sportsleague mlb,1
athlete gregoden athleteledsportsteam sportsteam suns,1
athlete rexgrossman athleteledsportsteam sportsteam n1985chicagobears,0
athlete jeremy athleteplaysforteam sportsteam newyorkgiants,1
athlete jefffassero athleteplayssport sport baseball,1
coach geoffjenkins athleteplayssport sport baseball,1
personmexico coreyhart athleteplayssport sport baseball,1
athlete jamariomoon athleteledsportsteam sportsteam raptors,1
athlete jeffclement athleteplayssport sport baseball,1
personasia rickankiel athleteplaysforteam sportsteam louiscardinals,0
athlete mikemyers athleteplayssport sport baseball,1
athlete ramontroncoso athleteplayssport sport baseball,1
athlete jamiemoyer athleteplayssport sport baseball,1
athlete andreethier athleteplaysinleague sportsleague mlb,1
athlete brianbass athleteplaysinleague sportsleague mlb,1
athlete juanabreu athleteplayssport sport baseball,1
sport baseball sportusesstadium stadiumoreventvenue greatamericanballpark,1
athlete adamrussell athleteplayssport sport baseball,1
personmexico estebangerman athleteplaysinleague sportsleague mlb,1
athlete kellyjohnson athleteplaysforteam sportsteam atlantabraves,1
athlete mattlaporta athleteplayssport sport baseball,1
personmexico oliverperez athleteplayssport sport baseball,1
athlete baberuth athleteplaysinleague sportsleague mlb,1
athlete natemclouth athleteplayssport sport baseball,1
athlete jonlieber athleteplaysinleague sportsleague mlb,1
sportsteam goldenstatewarriors teamplaysinleague sportsleague nba,1
sport baseball sportusesstadium stadiumoreventvenue progressivefield,1
athlete hidekimatsui athleteledsportsteam sportsteam newyorkyankees,1
athlete jaredreiner athleteledsportsteam sportsteam losangeleslakers,0
sportsteam milwaukeebucks teamplaysinleague sportsleague nba,1
personeurope jamesmcdonald athleteplaysinleague sportsleague mlb,1
athlete kirkgibson athleteplaysinleague sportsleague mlb,1
athlete ryanmadson athleteplayssport sport baseball,1
personmexico joshwillingham athleteplaysforteam sportsteam marlins,1
athlete mikemyers athleteplaysinleague sportsleague mlb,1
athlete taylortankersley athleteplayssport sport baseball,1
athlete jesselitsch athleteplayssport sport baseball,1
athlete brianshouse athleteplaysinleague sportsleague mlb,1
athlete johnsmoltz athleteplaysinleague sportsleague mlb,1
athlete joeblanton athleteplayssport sport baseball,1
athlete zito athleteplaysinleague sportsleague mlb,1
athlete davidortiz athleteledsportsteam sportsteam redsox,1
athlete anibalsanchez athleteplaysinleague sportsleague mlb,1
sportsteam orioles teamhomestadium stadiumoreventvenue camdenyards,1
athlete orlandohernndez athleteplaysinleague sportsleague mlb,1
personmexico chrisiannetta athleteplayssport sport baseball,1
sportsteam michiganstatespartans teamplaysinleague sportsleague ncaa,1
athlete michaelredd athleteplaysforteam sportsteam bucks,1
athlete mikeschmidt athleteplaysinleague sportsleague mlb,0
sportsteam newyorkjets teamplaysinleague sportsleague nfl,1
athlete davidriske athleteplaysinleague sportsleague mlb,1
athlete tonyromo athleteledsportsteam sportsteam dallascowboys,1
athlete natemclouth athleteplaysforteam sportsteam pirates,1
athlete mattclement athleteplaysinleague sportsleague mlb,1
sportsgame n1999worldseries sportsgameloser sportsteam atlantabraves,1
athlete curtschilling athleteplayssport sport baseball,1
athlete claytonkershaw athleteplayssport sport baseball,1
athlete jessecrain athleteplaysinleague sportsleague mlb,1
athlete bradlidge athleteplaysinleague sportsleague mlb,1
personmexico boofbonser athleteplaysinleague sportsleague mlb,1
sportsteam mavericks teamplaysinleague sportsleague nba,1
athlete markreynolds athleteplayssport sport baseball,1
athlete briangiles athleteplaysforteam sportsteam sandiegochargers,0
personmexico michaelwuertz athleteplayssport sport baseball,1
athlete fernandoperez athleteplaysinleague sportsleague mlb,1
sportsteam purdueboilermakers teamhomestadium stadiumoreventvenue rossadestadium,1
coach bradthompson athleteplaysforteam sportsteam packers,1
personaustralia joshhoward athleteledsportsteam sportsteam mavericks,1
athlete sagerosenfels athleteledsportsteam sportsteam texans,1
personmexico brandonphillips athleteplaysinleague sportsleague mlb,1
athlete nolanryan athleteplaysinleague sportsleague mlb,1
athlete sidneyponson athleteplaysinleague sportsleague mlb,1
athlete evanmeek athleteplayssport sport baseball,1
personmexico scottkazmir athleteplaysinleague sportsleague mlb,1
sportsteam houstonastros teamhomestadium stadiumoreventvenue minutemaidpark,1
athlete joeflacco athleteledsportsteam sportsteam baltimorecolts,1
athlete shaunlivingston athleteledsportsteam sportsteam clippers,1
athlete briangriese athleteledsportsteam sportsteam n1985chicagobears,0
athlete jefffrancoeur athleteplayssport sport baseball,1
athlete larrydoby athleteplaysinleague sportsleague mlb,1
athlete hidekiokajima athleteplayssport sport baseball,1
athlete sidneycrosby athleteledsportsteam sportsteam pittsburghpenguins,1
athlete marksanchez athleteledsportsteam sportsteam usc,1
athlete johnvanbenschoten athleteplayssport sport baseball,1
personmexico bradhawpe athleteplaysinleague sportsleague mlb,1
athlete samcassell athleteledsportsteam sportsteam bostonceltics,1
athlete mitchstetter athleteplaysinleague sportsleague mlb,1
athlete marksanchez athleteplaysforteam sportsteam usc,1
athlete ryanfitzpatrick athleteplaysforteam sportsteam bengals,1
personmexico daviddejesus athleteplayssport sport baseball,1
athlete jimmyrollins athleteplayssport sport baseball,1
athlete ryandoumit athleteplaysinleague sportsleague mlb,1
sportsteam torontobluejays teamplaysinleague sportsleague mlb,1
personmexico adriangonzalez athleteplayssport sport baseball,1
athlete alantrammell athleteplaysinleague sportsleague mlb,1
athlete benroethlisberger athleteplaysforteam sportsteam steelers,1
sportsteam atlantabraves teamplaysinleague sportsleague mlb,0
athlete gasol athleteledsportsteam sportsteam losangeleslakers,1
sportsteam milwaukeebrewers teamhomestadium stadiumoreventvenue millerpark,1
athlete stevetrachsel athleteplaysinleague sportsleague mlb,1
athlete thome athleteledsportsteam sportsteam redsox,0
athlete jakedelhomme athleteplaysforteam sportsteam carolina,1
sportsteam knicks teamhomestadium stadiumoreventvenue madisonsquaregarden,1
coach briansanches athleteplaysinleague sportsleague mlb,1
athlete thome athleteplaysforteam sportsteam redsox,1
athlete lennydinardo athleteplaysinleague sportsleague mlb,1
athlete dicek athleteplaysinleague sportsleague mlb,1
athlete jessecarlson athleteplayssport sport baseball,1
personmexico lukehudson athleteplaysinleague sportsleague mlb,1
sportsteam neworleanssaints teamhomestadium stadiumoreventvenue louisianasuperdome,1
sportsteam portlandtrailblazers teamplaysinleague sportsleague nba,1
personmexico codyross athleteledsportsteam sportsteam marlins,1
sportsteam detroitpistons teamplaysinleague sportsleague nba,1
athlete alexacker athleteledsportsteam sportsteam knicks,1
personmexico lyleoverbay athleteplaysinleague sportsleague mlb,1
athlete robertoalomar athleteplaysinleague sportsleague mlb,1
sportsteam raptors teamhomestadium stadiumoreventvenue aircanadacenter,1
athlete clifflee athleteplayssport sport baseball,1
athlete zackgreinke athleteplayssport sport baseball,1
personmexico mattkemp athleteledsportsteam sportsteam dodgers,1
athlete luisaparicio athleteplayssport sport baseball,1
athlete manuginobili athleteledsportsteam sportsteam spurs,1
athlete mannyparra athleteplaysinleague sportsleague mlb,1
personmexico marianorivera athleteplayssport sport baseball,1
athlete chrislambert athleteplaysinleague sportsleague mlb,1
athlete jedlowrie athleteplayssport sport baseball,1
personasia rickankiel coachesteam sportsteam louiscardinals,0
athlete scotteyre athleteplaysinleague sportsleague mlb,1
athlete joakimsoria athleteplaysinleague sportsleague mlb,1
athlete mikedunleavy athleteplaysforteam sportsteam pacers,1
athlete marlonbyrd athleteplaysforteam sportsteam rangers,0
athlete maddux athleteplaysinleague sportsleague mlb,1
personmexico alfonsosoriano athleteledsportsteam sportsteam chicagocubs,1
personmexico alexicasilla athleteplaysinleague sportsleague mlb,1
athlete dwyanewade athleteplaysforteam sportsteam heat,1
athlete mattschaub athleteledsportsteam sportsteam texans,1
sportsgame n2002worldcup sportsgameloser sportsteam germany,0
personaustralia joshhoward athleteplaysforteam sportsteam mavericks,1
athlete tarvarisjackson athleteplaysforteam sportsteam minnesotavikings,1
athlete davidcone athleteplayssport sport baseball,1
athlete albertoarias athleteplayssport sport baseball,1
sportsleague mlb leaguestadiums stadiumoreventvenue pncpark,1
coach jimharbaugh worksfor sportsteam stanford,0
athlete ajmurray athleteplaysinleague sportsleague mlb,1
athlete hunterpence athleteledsportsteam sportsteam houstonastros,1
athlete keiigawa athleteplayssport sport baseball,1
athlete pejastojakovic athleteplaysforteam sportsteam sacramentostatehornets,0
athlete chriscooley athleteplaysforteam sportsteam redskins,1
athlete freddiejones athleteledsportsteam sportsteam losangeleslakers,0
athlete peytonmanning athleteledsportsteam sportsteam colts,1
sportsleague nhl leaguestadiums stadiumoreventvenue mellonarena,1
athlete ryanfreel athleteplayssport sport baseball,1
athlete mikestanton athleteplayssport sport baseball,1
athlete arthurrhodes athleteplaysinleague sportsleague mlb,1
athlete stephendrew athleteplayssport sport baseball,1
athlete juanabreu athleteplaysinleague sportsleague mlb,1
sportsteam detroittigers teamplaysinleague sportsleague mlb,1
athlete lennydinardo athleteplayssport sport baseball,1
athlete alexeiramirez athleteledsportsteam sportsteam redsox,0
athlete octaviodotel athleteplaysinleague sportsleague mlb,1
athlete davidwright athleteplaysforteam sportsteam newyorkmets,1
athlete xaviernady athleteplaysinleague sportsleague mlb,1
athlete jhonnyperalta athleteplaysinleague sportsleague mlb,1
sportsleague nba leaguestadiums stadiumoreventvenue palaceofauburnhills,1
athlete darrencollison athleteplaysforteam sportsteam ucla,1
sportsteam bostonceltics teamplaysinleague sportsleague nba,1
athlete kevingregg athleteplaysinleague sportsleague mlb,1
athlete hidekimatsui athleteplaysinleague sportsleague mlb,1
athlete gavinfloyd athleteplayssport sport baseball,1
athlete lukehochevar athleteplayssport sport baseball,1
sportsteam dodgers teamplaysinleague sportsleague mlb,1
sport baseball sportusesstadium stadiumoreventvenue ameriquestfield,1
athlete mannyparra athleteplayssport sport baseball,1
athlete kosukefukudome athleteplaysinleague sportsleague mlb,1
athlete chuckjames athleteplayssport sport baseball,1
sportsleague ncaa leaguestadiums stadiumoreventvenue camprandallstadium,1
coach horacioramirez athleteplayssport sport baseball,1
athlete richardhamilton athleteledsportsteam sportsteam fortwaynepistons,0
athlete yovanigallardo athleteplaysinleague sportsleague mlb,1
athlete jasonkapono athleteledsportsteam sportsteam raptors,1
athlete mikeaviles athleteplayssport sport baseball,1
personmexico lastingsmilledge athleteledsportsteam sportsteam newyorkmets,1
athlete markreynolds athleteplaysforteam sportsteam diamondbacks,1
athlete joseguillen athleteplaysinleague sportsleague mlb,1
sportsteam broncos teamplaysinleague sportsleague nfl,1
athlete claytonkershaw athleteplaysinleague sportsleague mlb,1
athlete migueltejada athleteplayssport sport baseball,1
athlete lukehochevar athleteplaysinleague sportsleague mlb,1
personmexico tinomartinez athleteplayssport sport baseball,1
athlete aramisramirez athleteplaysinleague sportsleague mlb,1
athlete peavy athleteplaysinleague sportsleague mlb,1
athlete miltonbradley athleteplaysforteam sportsteam chicagocubs,1
sportsteam oaklandraiders teamhomestadium stadiumoreventvenue mcafeecoliseum,1
athlete russellbranyan athleteplaysinleague sportsleague mlb,1
athlete joemauer athleteplaysinleague sportsleague mlb,1
athlete guillermomota athleteplaysinleague sportsleague mlb,1
athlete ichiro athleteledsportsteam sportsteam seattlemariners,1
athlete markderosa athleteplayssport sport baseball,1
athlete yunelescobar athleteplaysinleague sportsleague mlb,1
athlete bradyquinn athleteledsportsteam sportsteam clevelandbrowns,1
athlete johnwetteland athleteplaysinleague sportsleague mlb,1
athlete johndanks athleteplayssport sport baseball,1
athlete busterposey athleteplaysinleague sportsleague mlb,1
athlete corylidle athleteplayssport sport baseball,1
athlete nickblackburn athleteplayssport sport baseball,1
athlete timhudson athleteplayssport sport baseball,1
athlete clifffloyd athleteplayssport sport baseball,1
athlete garysheffield athleteplaysforteam sportsteam newyorkyankees,1
sportsteam royals teamplaysinleague sportsleague mlb,1
athlete claybuchholz athleteplaysinleague sportsleague mlb,1
athlete fernandoperez athleteplayssport sport baseball,1
personmexico miguelcabrera athleteplayssport sport baseball,1
athlete ramonortiz athleteplaysinleague sportsleague mlb,1
athlete orlandocabrera athleteplaysinleague sportsleague mlb,1
personmexico melkycabrera athleteplayssport sport baseball,1
athlete chrisbosh athleteplaysforteam sportsteam raptors,0
athlete juliofranco athleteledsportsteam sportsteam redsox,0
athlete joenathan athleteplaysinleague sportsleague mlb,1
sportsteam newyorkjets teamhomestadium stadiumoreventvenue giantsstadium,1
athlete barrybonds athleteledsportsteam sportsteam sanfranciscogiants,1
athlete clameredith athleteplaysinleague sportsleague mlb,1
sportsleague nfl leaguestadiums stadiumoreventvenue heinzfield,1
athlete jeremyhermida athleteplaysinleague sportsleague mlb,1
athlete billmazeroski athleteplayssport sport baseball,1
personeurope jamesmcdonald athleteplayssport sport baseball,1
athlete rafaelsoriano athleteplayssport sport baseball,1
athlete johnsalmons athleteplaysforteam sportsteam kings,0
sportsteam tampabayrays teamhomestadium stadiumoreventvenue tropicanafield,1
athlete davidortiz athleteplaysinleague sportsleague mlb,1
sportsteam colts teamhomestadium stadiumoreventvenue lucasoilstadium,1
sportsteam brazil teamplaysagainstteam sportsteam germany,1
personus royoswalt athleteplaysinleague sportsleague mlb,1
personmexico clintbarmes athleteplaysforteam sportsteam coloradorockies,0
coach joshbeckett athleteplayssport sport baseball,1
sportsleague ncaa leaguestadiums stadiumoreventvenue beaverstadium,1
athlete tywigginton athleteledsportsteam sportsteam houstonastros,1
athlete dicek athleteplayssport sport baseball,1
sportsteam newenglandpatriots teamplaysinleague sportsleague nfl,1
coach jjhardy athleteledsportsteam sportsteam brewers,1
athlete pedroalvarez athleteplayssport sport baseball,1
athlete rafaelbetancourt athleteplayssport sport baseball,1
athlete tysonchandler athleteplaysforteam sportsteam sacramentostatehornets,0
personmexico mattkemp athleteplaysinleague sportsleague mlb,1
athlete edwinjackson athleteplaysinleague sportsleague mlb,1
athlete mikemussina athleteplaysinleague sportsleague mlb,1
personaustralia davidross athleteplayssport sport baseball,1
coach horacioramirez coachesteam sportsteam redsox,0
personmexico jasonbay athleteplayssport sport baseball,1
personmexico bradhawpe athleteplaysforteam sportsteam coloradorockies,0
athlete hidekimatsui athleteplayssport sport baseball,1
athlete kevinslowey athleteplayssport sport baseball,1
athlete jimkelly athleteledsportsteam sportsteam bills,1
athlete dennybautista athleteplaysinleague sportsleague mlb,1
athlete hidekimatsui athleteplaysforteam sportsteam newyorkyankees,1
athlete reggienelson athleteplaysforteam sportsteam magic,0
male alexrios athleteledsportsteam sportsteam bluejays,1
athlete dereklowe athleteplaysinleague sportsleague mlb,1
athlete chadqualls athleteplaysinleague sportsleague mlb,1
athlete philiprivers athleteplaysforteam sportsteam sandiegochargers,1
athlete jakewestbrook athleteplaysinleague sportsleague mlb,1
athlete josereyes athleteplayssport sport baseball,1
athlete scotteyre athleteplayssport sport baseball,1
sportsleague nfl leaguestadiums stadiumoreventvenue edwardjonesdome,1
sportsteam michiganstatespartans teamhomestadium stadiumoreventvenue spartanstadium,1
personmexico ubaldojimenez athleteplayssport sport baseball,1
sportsteam denvernuggets teamplaysinleague sportsleague nba,1
athlete pauloneill athleteplayssport sport baseball,1
coach geoffjenkins athleteplaysinleague sportsleague mlb,1
athlete dougdavis athleteplayssport sport baseball,1
athlete fredlynn athleteplayssport sport baseball,1
athlete ryandempster athleteplaysinleague sportsleague mlb,1
athlete ryanfitzpatrick athleteledsportsteam sportsteam bengals,0
sportsteam goldenstatewarriors teamhomestadium stadiumoreventvenue oraclearena,1
athlete rafaelfurcal athleteplayssport sport baseball,1
athlete blakedewitt athleteplaysinleague sportsleague mlb,1
athlete denardspan athleteplaysinleague sportsleague mlb,1
athlete daveroberts athleteplayssport sport baseball,1
athlete craigbiggio athleteplayssport sport baseball,1
sportsteam arizonadiamondbacks teamplaysinleague sportsleague mlb,1
personmexico markmcgwire athleteplaysforteam sportsteam louiscardinals,1
athlete angelberroa athleteplaysinleague sportsleague mlb,1
sportsleague mlb leaguestadiums stadiumoreventvenue mcafeecoliseum,1
male dondrysdale athleteplaysinleague sportsleague mlb,0
coach changailey worksfor sportsteam georgiatech,0
coach faustocarmona athleteplayssport sport baseball,1
