triple,stv,truth
Warren Beatty created Love Affair  1994 film ,0.4280959964,1
Leonid Trauberg directed The Youth of Maxim,0.9676724672,1
Princess Märtha of Sweden isMarriedTo Olav V of Norway,0.42764258380000003,1
Jeremy Sisto isMarriedTo Marisa Ryan,0.4997343421,1
Mai Zetterling created Doctor Glas  film ,0.4372947514,1
Anna Lee isMarriedTo Robert Stevenson  director ,0.41007637979999995,1
Jaromil Jireš created The Cry  1963 film ,0.42764258380000003,1
Jerzy Jurandot isMarriedTo Stefania Grodzieńska,0.42764264350000003,1
Cleve Moler isKnownFor MATLAB,0.8984289168999999,1
Jack Lemmon isMarriedTo Cynthia Stone,0.5752775669,1
Henri-Georges Clouzot directed Manon  film ,0.49726510049999995,1
Ludwig III of Bavaria isMarriedTo Maria Theresa of Austria-Este  1849–1919 ,0.420517385,1
Noboru Iguchi created The Machine Girl,0.5774958729999999,1
François Dupeyron created The Officers' Ward  film ,0.3425098658,1
Stephen King isMarriedTo Tabitha King,0.4757404923,1
Prince Hassan bin Talal isMarriedTo Princess Sarvath El Hassan,0.4439871311,1
Sebastian Arcelus isMarriedTo Stephanie J. Block,0.40967071060000004,1
Rajan Khosa created Dance of the Wind,0.5557355881,1
Abel Gance directed Le droit à la vie,0.42764258380000003,1
Robin Williams actedIn Mrs. Doubtfire,0.43196544049999996,1
Augustus III of Poland isMarriedTo Maria Josepha of Austria,0.5616229773,1
Antonia Fraser isMarriedTo Harold Pinter,0.42727279659999995,1
Arthur Rankin produced  Jr. The Mad  Mad  Mad Comedians,0.3425098658,0
Ilona Szilágyi isMarriedTo Vlad III the Impaler,0.4177514613,1
Agrippina the Elder isMarriedTo Germanicus,0.34250992539999997,1
Andrew I of Hungary isMarriedTo Anastasia of Kiev,0.42764258380000003,1
Charles Montague Cooke isMarriedTo Anna Rice Cooke,0.9446027875,1
Daniel C. Miller livesIn Harrisburg  Pennsylvania,0.3838253021,1
Adam Chandler isMarriedTo Brooke English,0.40694278479999996,1
Una Stubbs isMarriedTo Peter Gilmore,0.42583593729999997,1
Ola Rapace isMarriedTo Noomi Rapace,0.42764258380000003,1
Riazuddin  physicist  worksAt Pakistan Atomic Energy Commission,0.4946915507,1
Grand Duchess Olga Alexandrovna of Russia isMarriedTo Nikolai Kulikovsky,0.42764258380000003,1
Charles XV of Sweden isMarriedTo Louise of the Netherlands,0.40363287929999997,1
Emperor Zhao of Han isMarriedTo Grand Empress Dowager Shangguan,0.982727468,1
Quentin Tarantino actedIn From Dusk till Dawn,0.7028428912000001,1
Natalia Rivera Aitoro hasChild Gus Aitoro,0.4177514613,1
Artie Lange created Artie Lange's Beer League,0.42764258380000003,1
Abel Gance created Le périscope,0.5059745312,1
Rambhai Barni isMarriedTo Prajadhipok,0.4241536558,1
Kenneth Branagh created The Magic Flute  2006 film ,0.4803345203,1
Warren Beatty actedIn Reds  film ,0.9831138849,1
Alex Chandon directed Pervirella,1.4251102806,1
Alan Alda directed War of Nerves  M*A*S*H ,0.42764258380000003,1
T. B. Walker isMarriedTo Harriet G. Walker,0.6213507652,1
Becky Stark created Califunya,0.34250992539999997,1
Lauren Holly isMarriedTo Jim Carrey,0.4106097221,1
Gus Aitoro isMarriedTo Harley Cooper,0.42764258380000003,1
Gertrude of Hohenburg isMarriedTo Rudolph I of Germany,0.458126992,1
Michael Bell  mayor  isLeaderOf Toledo  Ohio,0.34250992539999997,1
Harold Pinter isMarriedTo Antonia Fraser,0.4474327564,1
Cliff Robertson created J. W. Coop,0.5745307803,1
Norman Mailer created Maidstone  film ,0.982727468,1
Yves Angelo created Colonel Chabert  1994 film ,0.4711261094,1
Abel Gance created The Torture of Silence,0.4791519642,1
Steven E. de Souza directed Arnold's Wrecking Co.,0.42764258380000003,1
Danielle Spencer  Australian singer  isMarriedTo Russell Crowe,0.41829004880000004,1
Kenneth Branagh directed Peter's Friends,0.4531171322,1
Neela Rasgotra isMarriedTo Michael Gallant,0.42559126020000004,1
Warren Beatty directed Bulworth,0.34250992539999997,1
Robert Stevenson  director  isMarriedTo Anna Lee,0.4425321817,1
Ferdinand II of Aragon isMarriedTo Germaine of Foix,0.42764258380000003,1
Comoros hasOfficialLanguage Arabic language,0.4469013214,1
Martin Lawrence created You So Crazy,0.46085980530000004,1
Prunella Scales isMarriedTo Timothy West,0.42764258380000003,1
Una Stubbs isMarriedTo Nicky Henson,0.42764264350000003,1
Alfonso XII of Spain isMarriedTo Maria Christina of Austria,0.42764258380000003,1
Cliff Robertson isMarriedTo Dina Merrill,0.9671886563,1
Éric Rochant created The Patriots  film ,0.982727468,1
Lucas Belvaux directed La Raison du plus faible,0.42764258380000003,1
Gloria Stuart isMarriedTo Arthur Sheekman,0.4373797476,1
Jacques Feyder directed Carnival in Flanders  film ,0.42764258380000003,1
Jessica Buchanan isMarriedTo Antonio Vega,0.9669585228,1
Lucas Belvaux directed Rapt  2009 film ,0.42764258380000003,1
King Vidor created Bud's Recruit,0.34250992539999997,1
Gus Aitoro hasChild Natalia Rivera Aitoro,1.0425525306999999,0
Carol Jackson hasChild Billie Jackson,0.7709921002,1
Leonor Telles de Menezes isMarriedTo Ferdinand I of Portugal,0.42764258380000003,1
Maria Christina of the Two Sicilies isMarriedTo Ferdinand VII of Spain,0.8973062037999999,1
Louise Dresser isMarriedTo Jack Norworth,0.4633500576,1
Jean Case isMarriedTo Steve Case,0.4413212836,1
Kenneth Branagh directed The Magic Flute  2006 film ,0.34250992539999997,1
Sarah Mlynowski isCitizenOf Canada,0.39068171380000005,1
Jerry Seinfeld actedIn Bee Movie,0.42764258380000003,1
Michael Dowse directed It's All Gone Pete Tong,0.817751199,1
Alan Alda created War of Nerves  M*A*S*H ,0.43174004549999995,1
Rex Harrison isMarriedTo Lilli Palmer,0.34250992539999997,1
Harry Hughes isMarriedTo Patricia Donoho Hughes,0.42764258380000003,1
Peter Gilmore isMarriedTo Una Stubbs,0.4148673415,1
Václav Havel isMarriedTo Olga Havlová,0.4096849859,1
Raymond Bernard directed Les Misérables  1934 film ,0.982727468,1
Demi Moore isMarriedTo Ashton Kutcher,0.4376773834,1
Abel Gance created End of the World  1931 film ,0.4177514613,1
Nasser Taghvai created Captain Khorshid,0.4254780412,1
John McCarthy  computer scientist  isKnownFor Lisp  programming language ,0.0439568236,1
Lucas Belvaux created Rapt  2009 film ,0.5555528402000001,1
Andrew Lane created Jake Speed,0.42764258380000003,1
Michael Gallant isMarriedTo Neela Rasgotra,0.4335386753,1
Marshall Brickman directed The Manhattan Project  film ,0.4782646,1
Maria Amalia of Saxony isMarriedTo Charles III of Spain,0.7350572348000001,1
Jill Hennessy actedIn The Acting Class,0.3854899704,1
Ali Selim directed Sweet Land,0.41403225060000004,1
Princess Joséphine Caroline of Belgium isMarriedTo Prince Karl Anton of Hohenzollern,0.42764258380000003,1
Anna Rice Cooke hasChild Charles Montague Cooke  Jr.,0.676726222,1
Princess Anne of Denmark isMarriedTo Prince George Valdemar of Denmark,0.42764258380000003,1
Marco Ferreri directed El Cochecito,0.8683667181999999,1
Tamiliam Subas produced Vanni Mouse,0.5680817365999999,1
Abel of Denmark isMarriedTo Matilda of Holstein,0.3849108219,1
Emilie Schindler isMarriedTo Oskar Schindler,0.9101629554999999,1
Michael Dowse produced FUBAR  film ,0.46981596950000004,1
Ali Selim produced Sweet Land,0.34250992539999997,1
Alexandra of Denmark isMarriedTo Edward VII of the United Kingdom,0.5105772614,1
Frank D. Gilroy produced Desperate Characters,0.4944609404,1
Zara Salim Davidson isMarriedTo Raja Nazrin Shah,0.4010510743,1
Norodom Sihanouk directed My Village at Sunset,0.9453274012,1
Annie Lavery isMarriedTo Ryan Lavery,0.42764258380000003,1
John Wayne isMarriedTo Pilar Pallete,0.34250992539999997,1
Maria Adelaide of Austria isMarriedTo Victor Emmanuel II of Italy,0.4372947514,1
Rahul Mahajan  Reality TV Personality  isMarriedTo Dimpy Mahajan,0.43942072990000003,1
Kevin McNally isMarriedTo Phyllis Logan,0.4373797476,1
Jessica Buchanan hasChild Nash Brennan,0.8874343634,1
Abel Gance directed La Folie du Docteur Tube,0.42764258380000003,1
Sandra Goldbacher directed The Governess,1.0,1
Noomi Rapace isMarriedTo Ola Rapace,0.5745307803,1
Bert Haanstra produced Alleman  film ,0.6545621157,1
David Mamet directed House of Games,0.4804060459,1
Maija DiGiorgio created Bitter Jester,0.4203598499,1
Ryan Lavery isMarriedTo Annie Lavery,0.42764258380000003,1
Maria Augimeri isMarriedTo Odoardo Di Santo,0.3988951147,1
Tabitha King isMarriedTo Stephen King,0.3425098956,1
Tonia Marketaki created Crystal Nights,0.9663606881999999,1
Jacques Doillon created Family Life  1985 film ,0.4962947369,1
Mitch Laurence isMarriedTo Natalie Buchanan,0.4856135547,1
Princess Sophie of Saxony isMarriedTo Duke Karl-Theodor in Bavaria,0.4096849859,1
Ferdinand II of the Two Sicilies isMarriedTo Maria Christina of Savoy,1.1047774255,1
Rupert Murdoch isMarriedTo Wendi Deng,0.9177426696,1
Manny Villar isMarriedTo Cynthia Villar,0.34250992539999997,1
Theodore Roosevelt isMarriedTo Alice Hathaway Lee Roosevelt,0.4207159579,1
Henri-Georges Clouzot created The Wages of Fear,0.5012188554,1
King Vidor directed Better Times  1919 film ,0.34250992539999997,1
Robert Taylor  actor  isMarriedTo Ursula Thiess,0.4747208953,1
Leonid Trauberg directed Simple People,0.34250992539999997,1
Gloria Marsh isMarriedTo Dimitri Marick,0.4402164221,1
Jon Hall isMarriedTo Frances Langford,0.4825210571,1
Burt Reynolds isMarriedTo Judy Carne,0.4310207367,1
Michael Dowse created FUBAR  film ,0.4461698532,1
Louis IX of France isMarriedTo Margaret of Provence,0.42594635490000005,1
Alexandra Wentworth isMarriedTo George Stephanopoulos,0.42764258380000003,1
Erica Kane isMarriedTo Jackson Montgomery,0.9015904665000001,1
Cécile de Maron isMarriedTo Leonard von Lahnstein,0.416775465,1
Barbara Rush isMarriedTo Jeffrey Hunter,0.4106097221,1
Guangxu Emperor isMarriedTo Empress Dowager Longyu,0.42764258380000003,1
Barack Obama isMarriedTo Michelle Obama,0.6512963176,1
Louise of Sweden isMarriedTo Frederick VIII of Denmark,0.43424049020000005,1
Ted Hartley isMarriedTo Dina Merrill,0.4470141232,1
Leonid Trauberg created The Youth of Maxim,0.4160688221,1
Prince Franz of Bavaria isMarriedTo Princess Isabella Antonie of Croÿ,0.47934579850000003,1
Robert Kardashian isMarriedTo Kris Jenner,0.5499971509,1
Marco Ferreri created The Ape Woman,0.42106401920000003,1
Abel Gance created J'accuse!  1938 film ,0.5185357928000001,1
Erica Kane isMarriedTo Dimitri Marick,0.45707455280000003,1
Mercedes of Orléans isMarriedTo Alfonso XII of Spain,0.6529961824,1
Kevin Munroe created Teenage Mutant Ninja Turtles  film series ,0.42764258380000003,1
Queen Sonja of Norway isMarriedTo Harald V of Norway,0.4633438587,1
Paul Auster created Blue in the Face,0.4143872857,1
Claire Bloom isMarriedTo Rod Steiger,0.3942225575,1
Francis I of the Two Sicilies isMarriedTo Archduchess Maria Clementina of Austria,0.42764243479999997,1
Princess Isabella Antonie of Croÿ isMarriedTo Prince Franz of Bavaria,0.5357314348,1
Neela Rasgotra isMarriedTo Tony Gates,0.5105772614,1
Arthur Miller isMarriedTo Marilyn Monroe,0.4327291846,1
Dorian Lord isMarriedTo David Vickers,0.42764258380000003,1
Mary Lee Woods isMarriedTo Conway Berners-Lee,0.42764258380000003,1
Donald Knuth isKnownFor The Art of Computer Programming,0.34250995520000005,1
Princess Beatrice of the United Kingdom isMarriedTo Prince Henry of Battenberg,0.5567080975,1
Abdullah I of Jordan isMarriedTo Musbah bint Nasser,0.5745271444,1
Sheldon Reynolds  producer  created Killer's Carnival,0.4356232285,1
Vera Nabokov isMarriedTo Vladimir Nabokov,0.4134325385,1
Eddie Griffin actedIn Dysfunktional Family,0.7281428576000001,1
William IV of the United Kingdom isMarriedTo Adelaide of Saxe-Meiningen,0.42764258380000003,1
Emilio Fernández directed Río Escondido  1948 film ,0.41419270630000005,1
Frank Buck  animal collector  isMarriedTo Amy Leslie,0.42764258380000003,1
Alex Chandon actedIn Chainsaw Scumfuck,0.4060115814,1
Guy Ritchie created The Hire,0.42764258380000003,1
Saeed Akhtar Mirza created Arvind Desai Ki Ajeeb Dastaan,0.34250995520000005,1
Leonid Trauberg directed Alone  1931 film ,0.34250992539999997,1
Warren Beatty produced Dick Tracy  1990 film ,0.5135737658,1
Abel Gance created The Ironmaster,0.42764258380000003,1
Jaya Bachchan isMarriedTo Amitabh Bachchan,0.6013643742,1
Chris Rock actedIn I Think I Love My Wife,0.3425098956,1
Vilsoni Hereniko directed The Land Has Eyes,0.34250992539999997,1
Masud Ahmad hasAcademicAdvisor Riazuddin  physicist ,0.3425098658,1
Joe McStravick directed Murphy 771,0.4803345799,1
Warren Beatty produced Reds  film ,0.34250992539999997,1
Isabel Coixet created My Life Without Me,0.39938259119999997,1
Henri-Georges Clouzot directed La Vérité  film ,0.44530898329999996,1
Parris Glendening isMarriedTo Frances Hughes Glendening,0.44530898329999996,1
Sigismund III Vasa isMarriedTo Constance of Austria,0.982727468,1
Paul Spence actedIn FUBAR 2  film ,0.42764258380000003,1
Cliff Robertson directed J. W. Coop,0.34250992539999997,1
Farida of Egypt isMarriedTo Farouk of Egypt,0.5236159563,1
Kris Jenner isMarriedTo Bruce Jenner,0.5745577812,1
Louise of Hesse-Kassel isMarriedTo Christian IX of Denmark,0.34250992539999997,1
Olu Jacobs isMarriedTo Joke Silva,0.5602130294,1
Ward Kimball produced Man in Space,0.4250917435,1
Gabrielle Giffords isMarriedTo Mark E. Kelly,0.43280607460000003,1
King Vidor directed Three Wise Fools  1923 film ,0.34250992539999997,1
Frederick Kagan isMarriedTo Kimberly Kagan,0.4413212836,1
Maurice Cloche created La Portatrice di pane  1950 film ,0.5152810811999999,1
Giuseppe Colizzi created All the Way  Boys,0.5424413681,1
Maria Theresa of Austria-Este  1849–1919  isMarriedTo Ludwig III of Bavaria,0.43936926130000004,1
Warren Beatty produced Love Affair  1994 film ,0.48697873950000004,1
Charles Emmanuel III of Sardinia isMarriedTo Countess Palatine Anne Christine of Sulzbach,0.519942224,1
Isabella of Angoulême isMarriedTo John of England,0.4519806504,1
Rod Lurie created The Contender  2000 film ,0.5061612129,1
Becky Stark directed Califunya,0.4608120918,1
Beadie Russell isMarriedTo Jimmy McNulty,0.3425098658,1
Sancho I of Portugal isMarriedTo Dulce of Aragon,0.5809990764,1
Ferdinand VII of Spain isMarriedTo Maria Josepha of Saxony,0.6890217066,1
King Vidor directed His Hour,0.34250995520000005,1
Elizabeth the Cuman isMarriedTo Stephen V of Hungary,0.34250992539999997,1
Norma Shearer isMarriedTo Irving Thalberg,0.48700603840000006,1
Norman Mailer produced Maidstone  film ,0.34250992539999997,1
R. Kannan created Jayamkondaan,0.9831727743,0
Warren Beatty isMarriedTo Annette Bening,0.4148673415,1
René of Anjou isMarriedTo Jeanne de Laval,0.9831944108,1
Victor Salva created Clownhouse,0.42764258380000003,1
Emily McLaughlin isMarriedTo Jeffrey Hunter,0.4547978938,1
Masud Ahmad livesIn Islamabad Capital Territory,0.4952133596,1
Esperanza Baur isMarriedTo John Wayne,0.42764258380000003,1
Hank Gannon isMarriedTo Nora Hanen,0.44548836350000004,1
Emilio Fernández created Siempre tuya,0.42764258380000003,1
Giuseppe Colizzi directed All the Way  Boys,0.4808550179,1
Adam Cheng isMarriedTo Lydia Shum,0.4587928355,1
Alex Chandon created Bad Karma  1991 film ,0.4762486219,1
Prince Feodor Alexandrovich of Russia isMarriedTo Irina Pavlovna Paley,0.3425098658,1
Prince Axel of Denmark isMarriedTo Princess Margaretha of Sweden,0.3425098658,1
Madonna  entertainer  produced I'm Going to Tell You a Secret,0.982727468,1
Kay Kendall isMarriedTo Rex Harrison,0.42764258380000003,1
Świętosława of Poland isMarriedTo Vratislaus II of Bohemia,0.4901762009,1
Robin Williams produced Mrs. Doubtfire,0.42764258380000003,1
Bert Haanstra created Mirror of Holland,0.4634473324,1
Jimmy McNulty isMarriedTo Beadie Russell,0.4633438587,1
Cynthia Villar isMarriedTo Manny Villar,0.9922053218000001,1
Vajiravudh isMarriedTo Suvadhana,0.4584923983,1
Yılmaz Güney created Zavallılar,0.42764258380000003,1
Christian IX of Denmark isMarriedTo Louise of Hesse-Kassel,0.42764264350000003,1
Noboru Iguchi created Oira Sukeban,0.3838253021,1
Rodney Dangerfield produced Rover Dangerfield,0.9662021995000001,1
David E. Durston created I Drink Your Blood,0.9347850084,1
Princess Firyal of Jordan isMarriedTo Prince Muhammad bin Talal,0.4950791299,1
Princess Léa of Belgium isMarriedTo Prince Alexander of Belgium,0.42323285340000005,1
Princess Helena of the United Kingdom isMarriedTo Prince Christian of Schleswig-Holstein,0.5702466965,1
Annette Bening isMarriedTo Warren Beatty,0.44021645189999997,1
Maximilian I of Mexico isMarriedTo Charlotte of Belgium,0.3425098956,1
Paul Spence produced FUBAR 2  film ,0.5999705195,1
Marissa Tasker isMarriedTo JR Chandler,0.41584604979999995,1
Grand Duke Michael Alexandrovich of Russia isMarriedTo Natalia Brasova,0.3843609095,1
Jamil Dehlavi created The Blood of Hussain,0.3854900301,1
Siva Selliah livesIn Colombo,0.9289007187,1
Warren Beatty created Reds  film ,0.5310805439999999,1
Françoise Rosay isMarriedTo Jacques Feyder,0.3854899704,1
Edward VII of the United Kingdom isMarriedTo Alexandra of Denmark,0.42640727759999997,1
Jennifer Rappaport hasChild Joey Buchanan,0.41696983579999997,1
Abel Gance created Barberousse,0.4106097221,1
Saeed Akhtar Mirza created Salim Langde Pe Mat Ro,0.4577527046,1
Henri-Georges Clouzot created Manon  film ,0.47207131979999994,1
Lilli Palmer isMarriedTo Carlos Thompson,0.57194978,1
Demi Moore isMarriedTo Bruce Willis,0.3986256123,1
Patricia Wettig isMarriedTo Ken Olin,0.42764258380000003,1
Peter IV of Aragon isMarriedTo Eleanor of Sicily,0.41606006030000003,1
Alexandre Astruc created The Crimson Curtain,0.42764264350000003,1
Miguel Lopez-Fitzgerald isMarriedTo Kay Bennett,0.9380303620999999,1
Jorge Lanata directed Deuda,0.42764258380000003,1
Jacques Feyder created Carnival in Flanders  film ,0.5198202729,1
Judith of Habsburg isMarriedTo Wenceslaus II of Bohemia,0.415591836,1
Grand Duke Alexander Mikhailovich of Russia isMarriedTo Grand Duchess Xenia Alexandrovna of Russia,0.46672841909999996,1
Archduke Charles Stephen of Austria isMarriedTo Archduchess Maria Theresa of Austria  1862–1933 ,0.42764258380000003,1
Tina Lord isMarriedTo Cord Roberts,0.42764264350000003,1
Luis Bayón Herrera created Buenos Aires a la vista,0.5166307688,1
Marie José of Belgium isMarriedTo Umberto II of Italy,0.4491711259,1
Raquel Torres isMarriedTo Jon Hall,0.4807017744,1
Hortense de Beauharnais isMarriedTo Louis Bonaparte,0.5166307092,1
Sean Penn isMarriedTo Robin Wright Penn,0.42764258380000003,1
Serge Gainsbourg directed Je t'aime... moi non plus  film ,0.9669585228,1
Emilio Fernández created Maclovia  1948 film ,0.4225498736,1
King Vidor directed The Turn in the Road,0.34250992539999997,1
Phillip Spaulding hasChild Harley Cooper,0.4250917435,1
Michael Tolkin created The Rapture  film ,0.8382523059,1
Gustav IV Adolf of Sweden isMarriedTo Frederica of Baden,0.9673705101000001,1
Empress Dowager Longyu isMarriedTo Guangxu Emperor,0.4059850276,1
Tad Martin isMarriedTo Brooke English,0.46844467520000005,1
Archduke Gottfried of Austria isMarriedTo Princess Dorothea of Bavaria,0.5160434246,1
Jean-Pierre Mocky created Un drôle de paroissien,0.479329735,1
Harry Towb isMarriedTo Diana Hoddinott,0.34250992539999997,1
Jacques Doillon directed La Vengeance d'une femme,0.42764258380000003,1
Warren Beatty actedIn Dick Tracy  1990 film ,0.39372560380000005,1
Agrippina the Younger isMarriedTo Claudius,0.42764258380000003,1
Yang Jiang isMarriedTo Qian Zhongshu,0.42569300530000004,1
Alex Chandon created Chainsaw Scumfuck,0.42764258380000003,1
Jacques Feyder directed L'Atlantide  1921 film ,0.42764258380000003,1
Nash Brennan isMarriedTo Jessica Buchanan,0.4276427925,1
Prajadhipok isMarriedTo Rambhai Barni,0.42764258380000003,1
Jacques Doillon created Ponette,0.42764258380000003,1
Victor Salva produced Clownhouse,0.42764258380000003,1
Tony Gates isMarriedTo Neela Rasgotra,0.425176084,1
Stephanie J. Block isMarriedTo Sebastian Arcelus,0.4658367634,1
Donald Knuth created The Art of Computer Programming,0.9347850084,1
Irina Pavlovna Paley isMarriedTo Prince Feodor Alexandrovich of Russia,0.9349225163,1
Margaret of Provence isMarriedTo Louis IX of France,1.6681336761,1
Raja Nazrin Shah isMarriedTo Zara Salim Davidson,0.4260057807,1
Quentin Tarantino created My Best Friend's Birthday,0.42764258380000003,1
Yılmaz Güney produced Yol,0.42764258380000003,1
Donald Knuth isKnownFor TeX,0.9288162589,1
Emilio Estevez produced The War at Home  film ,0.4083383679,1
Jon Cypher isMarriedTo Carol Rosin,0.487895906,1
Phillip Spaulding isMarriedTo Olivia Spencer,0.4203598201,1
Cord Roberts isMarriedTo Tina Lord,0.49375420810000004,1
Jeanne de Laval isMarriedTo René of Anjou,0.5664188266,1
Alan Rudolph created Love at Large,0.4822578132,1
Noboru Iguchi directed Oira Sukeban,0.4402449429,1
Iain Softley created Backbeat  film ,0.42764258380000003,1
Nasser Taghvai created Tales of Kish,0.42764264350000003,1
Steven E. de Souza directed Possessed  2000 film ,0.43319088219999996,1
Vratislaus II of Bohemia isMarriedTo Świętosława of Poland,0.4030945897,1
Sam Marx isMarriedTo Minnie Marx,0.9503982365000001,1
Angela Pan isMarriedTo Chan Hung-lit,0.34250992539999997,1
Olivia Spencer isMarriedTo Phillip Spaulding,0.4057770669,1
Princess Helena Adelaide of Schleswig-Holstein-Sonderburg-Glücksburg isMarriedTo Prince Harald of Denmark,0.43940714,1
Jaime Camino created Spain Again,0.34250992539999997,1
Trip Hawkins created Electronic Arts,0.42764258380000003,1
Turai Yar'Adua isMarriedTo Umaru Yar'Adua,0.4695131481,1
Eleanor of Alburquerque isMarriedTo Ferdinand I of Aragon,0.5110214949,1
Amarindra isMarriedTo Buddha Yodfa Chulaloke,0.4073320925,1
Noah Bennett isMarriedTo Paloma Lopez-Fitzgerald,0.49386876820000003,1
Alex Chandon directed Drillbit  film ,0.7467705011,1
Juan Carlos I of Spain isMarriedTo Queen Sofía of Spain,0.42764258380000003,1
Marguerite Snow isMarriedTo James Cruze,0.42053043840000004,1
Peter Guinness  actor  isMarriedTo Roberta Taylor,0.9673920274,1
Abel Gance created Les Gaz mortels,0.43145999310000005,1
Fox Crane isMarriedTo Kay Bennett,0.34250992539999997,1
Jacques Feyder directed Faces of Children,0.43543997409999996,1
Rick Rubin created Tougher Than Leather  film ,0.4240394235,1
Queen Paola of Belgium isMarriedTo Albert II of Belgium,0.982727468,1
Gwyneth Strong isMarriedTo Jesse Birdsall,0.42764264350000003,1
Al Pacino actedIn Looking for Richard,0.418163985,1
Alan Rudolph created Welcome to L.A.,0.42764258380000003,1
